"06/10/2025 Spaarnwoude Survey			"
"Sampling rate : 1000Hz			"
"Tracking Frequency : 83 Hz			"
"			"
"Time	Experiment Name	NavAq linename	Line Description"
"09:10	Exp_1	Line_1	Tracking the cable along the entire loop - On top of the cable "
"10:15	Exp_2	Line_2	On top of the cable - East to west"
"10:21	Exp_3	Line_3	2m offset parallel - outside the loop - north of the cable - West to East"
"11:11	Exp_4	Line_4	4m offset parallel - outside the loop - north of the cable - East to West"
"11:14	Exp_5	Line_5	6m offset parallel - outside the loop - north of the cable - West to East"
"11:16	Exp_6	Line_6	8m offset parallel - outside the loop - north of the cable - East to West"
"11:20	Exp_7	Line_7	2m offset parallel - inside the loop - south of the cable - West to East"
"11:23	Exp_8	Line_8	4m offset parallel - inside the loop - south of the cable - East to west"
"11:25	Exp_9	Line_9	6m offset parallel - inside the loop - south of the cable - West to East"
"11:28	Exp_10	Line_10	8m offset parallel - inside the loop - south of the cable - East to west"
"11:36	Exp_11	Line_11	Crossline - north to south"
"11:37	Exp_12	Line_12	Crossline - south to north"
"11:59	Exp_13	Line_13	Crabwalk - Crossline - North to south"
"12:00	Exp_14	Line_14	Crabwalk - Crossline - South to North"
"12:16	Exp_15	Line_15	North of the cable - 4m away - 90 turns every 15 seconds"
"12:20	Exp_16	Line_16	North of the cable - 6m away - 90 turns every 15 seconds"
